Name,Source_ID,Alias1,Date_Drilled,Depth_Reference,El_DR_masl,Elev_Method,Total_Depth_m,E_10TM83,N_10TM83,Lat_NAD83,Long_NAD83,Source_CRS,Drilling_Company,Drilling_Method,Driller,Logger,Owner,Well_Presence,Spatial_Precision,Georef,Folder,LogPDF,Purpose,Comment
1,1,,19640615,ground surface,666,SRTM DEM,14.94,664959,5933040,53.541675,-112.509489,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_1.pdf,geology testhole,Only the logger's initials are on the log.
2,1,,19640606,ground surface,670,SRTM DEM,5.79,661691,5932929,53.541692,-112.558826,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_2.pdf,geology testhole,Only the logger's initials are on the log.
3,1,,19640606,ground surface,674,SRTM DEM,6.43,660084,5932875,53.541696,-112.583092,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_3.pdf,geology testhole,Only the logger's initials are on the log.
4,1,,19640606,ground surface,675,SRTM DEM,17.98,658453,5932820,53.541695,-112.607725,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_4.pdf,geology testhole,Only the logger's initials are on the log.
5,1,,19640619,ground surface,668,SRTM DEM,5.49,663318,5932964,53.541503,-112.534275,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_5.pdf,geology testhole,Only the logger's initials are on the log.
6,1,,19640620,ground surface,678,SRTM DEM,21.64,656805,5932820,53.542193,-112.632576,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_6.pdf,geology testhole,Only the logger's initials are on the log.
7,1,,19640620,ground surface,684,SRTM DEM,8.84,655189,5932707,53.54166,-112.657015,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_7.pdf,geology testhole,Only the logger's initials are on the log.
8,1,,19640619,ground surface,720,SRTM DEM,15.24,653534,5932653,53.541657,-112.682005,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_8.pdf,geology testhole,Only the logger's initials are on the log.
9,1,,19640629,ground surface,737,SRTM DEM,25.6,651910,5932602,53.541676,-112.706518,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_9.pdf,geology testhole,Only the logger's initials are on the log.
11,1,,19640623,ground surface,726,SRTM DEM,27.43,648670,5932503,53.541714,-112.755449,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_11.pdf,geology testhole,Only the logger's initials are on the log.
12,1,,19640721,ground surface,710,SRTM DEM,25.91,647015,5933198,53.548422,-112.780078,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_12.pdf,geology testhole,Only the logger's initials are on the log.
15,1,,19640717,ground surface,710,SRTM DEM,25.91,646972,5934063,53.556206,-112.780325,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_15.pdf,geology testhole,Only the logger's initials are on the log.
17,1,,19640717,ground surface,717,SRTM DEM,25.91,648602,5934104,53.556118,-112.755707,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_17.pdf,geology testhole,Only the logger's initials are on the log.
20,1,,19640717,ground surface,719,SRTM DEM,25.91,650233,5934348,53.557846,-112.730977,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_20.pdf,geology testhole,Only the logger's initials are on the log. Location ambiguous from available info; position taken off map.
22,1,,19640714,ground surface,724,SRTM DEM,21.34,651876,5934212,53.556152,-112.706258,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_22.pdf,geology testhole,Only the logger's initials are on the log.
24,1,,19640714,ground surface,708,SRTM DEM,16.76,653501,5934211,53.555671,-112.681731,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_24.pdf,geology testhole,Only the logger's initials are on the log.
26,1,,19640714,ground surface,679,SRTM DEM,14.94,655117,5934317,53.556143,-112.657303,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_26.pdf,geology testhole,Only the logger's initials are on the log.
29,1,,19640714,ground surface,680,SRTM DEM,18.29,656747,5934374,53.556172,-112.63268,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_29.pdf,geology testhole,Only the logger's initials are on the log.
32,1,,19640704,ground surface,678,SRTM DEM,11.89,658383,5934432,53.556203,-112.607965,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_32.pdf,geology testhole,Only the logger's initials are on the log.
35,1,,19640704,ground surface,676,SRTM DEM,5.79,660030,5934484,53.556173,-112.583082,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_35.pdf,geology testhole,Only the logger's initials are on the log.
37,1,,19640704,ground surface,671,SRTM DEM,3.35,661656,5934544,53.556206,-112.558515,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_37.pdf,geology testhole,Only the logger's initials are on the log.
39,1,,19640704,ground surface,669,SRTM DEM,4.88,663263,5934592,53.55614,-112.534247,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_39.pdf,geology testhole,Only the logger's initials are on the log.
41,1,,19640704,ground surface,673,SRTM DEM,7.92,664924,5934645,53.556099,-112.509168,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_41.pdf,geology testhole,Only the logger's initials are on the log.
42,1,,19640606,ground surface,670,SRTM DEM,5.79,664855,5936177,53.569887,-112.509399,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_42.pdf,geology testhole,Only the logger's initials are on the log.
43,1,,19640606,ground surface,669,SRTM DEM,5.79,663230,5936222,53.570793,-112.53389,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_43.pdf,geology testhole,Only the logger's initials are on the log. Log description vague; used map position.
48,1,,19640610,ground surface,681,SRTM DEM,7.32,656682,5936072,53.571444,-112.632811,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_48.pdf,geology testhole,Only the logger's initials are on the log.
49,1,,19640620,ground surface,693,SRTM DEM,14.94,653456,5935870,53.570591,-112.681603,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_49.pdf,geology testhole,Only the logger's initials are on the log.
50,1,,19640622,ground surface,703,SRTM DEM,14.94,651834,5935820,53.570612,-112.706115,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_50.pdf,geology testhole,Only the logger's initials are on the log.
51,1,,19640728,ground surface,709,SRTM DEM,16.76,650185,5935758,53.570527,-112.731026,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_51.pdf,geology testhole,Only the logger's initials are on the log.
52,1,,19640623,ground surface,704,SRTM DEM,18.29,648572,5935730,53.57074,-112.755385,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_52.pdf,geology testhole,Only the logger's initials are on the log.
53,1,,19640623,ground surface,716,SRTM DEM,14.94,646944,5935672,53.570673,-112.779989,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_53.pdf,geology testhole,Only the logger's initials are on the log.
54,1,,19640904,ground surface,707,SRTM DEM,16.76,645318,5935612,53.570583,-112.804559,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_54.pdf,geology testhole,Only the logger's initials are on the log.
56,1,,19640721,ground surface,707,SRTM DEM,15.24,646876,5937290,53.585234,-112.780253,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_56.pdf,geology testhole,Only the logger's initials are on the log.
57,1,,19640623,ground surface,693,SRTM DEM,13.41,648524,5937332,53.585143,-112.755357,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_57.pdf,geology testhole,Only the logger's initials are on the log.
58,1,,19640629,ground surface,698,SRTM DEM,25.3,650158,5937384,53.585145,-112.730658,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_58.pdf,geology testhole,Only the logger's initials are on the log.
59,1,,19640620,ground surface,689,SRTM DEM,5.79,653399,5937500,53.585245,-112.681663,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_59.pdf,geology testhole,Only the logger's initials are on the log.
60,1,,19640605,ground surface,692,SRTM DEM,21.03,651791,5937449,53.585262,-112.705966,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_60.pdf,geology testhole,Only the logger's initials are on the log.
61,1,,19640615,ground surface,681,SRTM DEM,10.36,655007,5937556,53.585278,-112.65735,DLS description,Mobile Augers and Research Ltd.,"Not stated on logs. Assume hollow stem auger, as Shelby tube samples were taken and some SPT testing described.",no data,A.A.,,No well present,60,,1_ElkIsland\,Litholog_61.pdf,geology testhole,Only the logger's initials are on the log.
