Borehole_Name,Source_ID,From_Depth,To_Depth,Depth_Units,From_Depth_mbgs,To_Depth_mbgs,Int_Top_Depth,Int_Bot_Depth,Pri_Material,Sec_Material,Colour,Full_Text,Comment
1,1,0,20,feet,0,6.1,0,6.1,till,,grey,"Till, grey, very silty with pebbles",
1,1,20,35,feet,6.1,10.67,6.1,10.67,silt,,grey - dark grey,"Silt - Glacial, grey - dark grey, occ. pebbles. Water table at 20'.",
1,1,35,37,feet,10.67,11.28,10.67,11.28,sand,,,Water sand at 35 - 37',Assume depth on log is a typo
1,1,37,48,feet,11.28,14.63,11.28,14.63,till,,dark grey,"Till, dark grey, very sandy and silty with common pebbles",
1,1,48,49,feet,14.63,14.94,14.63,14.94,shale,,Grey (bluish),"Bedrock. Grey (bluish), very silty, shale",
2,1,0,7,feet,0,2.13,0,2.13,till,gypsum,brown,Brown till with abundant gypsum,
2,1,7,12,feet,2.13,3.66,2.13,3.66,till,,,"Till less weathered trc. 0.5"" pebbles",
2,1,12,19,feet,3.66,5.79,3.66,5.79,bedrock,,grey,"Bedrock grey to bluish grey, silty, dry",
3,1,0,4,feet,0,1.22,0,1.22,till,,brown,Brown weathered till. Weathering resembles honeycomb. Trace gyp. and large pebbles at 9',
3,1,4,11,feet,1.22,3.35,1.22,3.35,till,,,Increase in sand content with depth (of Till) changes at 11' to,
3,1,11,17,feet,3.35,5.18,3.35,5.18,till,,grey,"Grey till, sandy with clay, pebbles grey and bluish grey.",
3,1,17,18,feet,5.18,5.49,5.18,5.49,sand,,,"Sand, fine - coarse grain glacial (water table)",
3,1,18,21,feet,5.49,6.4,5.49,6.4,till,,grey,"Till grey, silty with pebbles",
3,1,21,21.1,feet,6.4,6.43,6.4,6.43,boulders,,,Boulders,
4,1,0,4,feet,0,1.22,0,1.22,fill,,,Fill,
4,1,4,16,feet,1.22,4.88,1.22,4.88,till,,brown,"Till brown sandy, with minor pebbles",
4,1,16,57,feet,4.88,17.37,4.88,17.37,till,,grey,Till grey - dark grey with pebbles; 28': increase in pebble content of till,
4,1,57,59,feet,17.37,17.98,17.37,17.98,shale,till,grey,"Till changes to dark brown colour; Bedrock greenish grey shale silty, slightly weathered.",
5,1,0,7,feet,0,2.13,0,2.13,till,,grey and yellow-brown,"Till, grey, weathered, yellow-brown, very silty smooth",
5,1,7,8,feet,2.13,2.44,2.13,2.44,shale,,brown grey,"Shale, well banded, brown-grey, very silty lake?",
5,1,8,16,feet,2.44,4.88,2.44,4.88,till,,brown,"Till, brown, silty and sandy",
5,1,16,18,feet,4.88,5.49,4.88,5.49,shale,,greenish grey,"Bedrock, greenish grey silty shale",
6,1,0,11,feet,0,3.35,0,3.35,till,,brown,"Till brown silty, very pebbly, weathered",
6,1,11,26,feet,3.35,7.92,3.35,7.92,till,,grey,Unweathered grey very silty till,
6,1,26,42,feet,7.92,12.8,7.92,12.8,till,,,Very sandy till. Water added (at 35') to hole.,
6,1,42,47,feet,12.8,14.33,12.8,14.33,pebbly till,,,Very pebbly till. as above,
6,1,47,64,feet,14.33,19.51,14.33,19.51,till,,,Very sandy till with well rounded chert pebbles. Water table at 51'.,
6,1,64,71,feet,19.51,21.64,19.51,21.64,clay,,,"Bedrock - very silty and sandy, well banded, weathered clay. Abundant carb. material and hematite stained qtz grains. 71': TD.",
7,1,0,25,feet,0,7.62,0,7.62,till,,grey-brown,"Till, grey weathered brown, very silty and very smooth ?? pebbles. 11': Increase in sand content of till and trace pebbles.",Can't fully read text on log.
7,1,25,29,feet,7.62,8.84,7.62,8.84,shale,,brown,Bedrock - brown shale silty. 29' TD.,
8,1,0,15,feet,0,4.57,0,4.57,till,,brown,"Till brown, silty, weathered with common pebbles. 9 - 10': Water table.",
8,1,15,24,feet,4.57,7.32,4.57,7.32,till,,,Till as above but unweathered from 15',
8,1,24,30,feet,7.32,9.14,7.32,9.14,sand,,,"Sand very coarse - very fine grain quartz clear and clean, loose (glacial)",
8,1,30,46,feet,9.14,14.02,9.14,14.02,till,,dark grey,Till dark grey silty with common quartz grains,
8,1,46,50,feet,14.02,15.24,14.02,15.24,shale,,dark grey,"Bedrock upper 2' is very weathered with iron rich waters. Shale is generally dark grey firm, watery",
9,1,0,17,feet,0,5.18,0,5.18,till,,brown,"Brown sandy and silty weathered till with common pebbles granite, quartzite. 8': Increase in pebble content; water percolating into hole from 8'.",
9,1,17,26,feet,5.18,7.92,5.18,7.92,till,,dark brown to grey,Dark brown grey; very silty and pebbly till,
